"Legacy item / contract surface","Current owner / location","Decision","Approved target / replacement","Notes"
"Managed-workflow subsystem file ManagedWorkflowRegistry.ts","src/core/task/managed-workflows/ManagedWorkflowRegistry.ts","Delete","None","Managed-workflow registry surface that must be explicitly dispositioned in the runtime-owned architecture."
"Legacy workflow activation file workflow-activation.ts","src/core/task/workflow-activation.ts","TBD","TBD","File-level activation surface outside WorkflowRuntime."
"Legacy workflow-activation contract ManagedWorkflowActivationResult","src/core/task/workflow-activation.ts export ManagedWorkflowActivationResult","TBD","TBD","Managed-workflow activation result contract exported from the legacy activation file."
"Legacy workflow-activation contract PlaceholderWorkflowActivationResult","src/core/task/workflow-activation.ts export PlaceholderWorkflowActivationResult","TBD","TBD","Placeholder-workflow activation result contract exported from the legacy activation file."
"Legacy workflow-activation function activateManagedWorkflowInTaskState(...)","src/core/task/workflow-activation.ts export activateManagedWorkflowInTaskState(...)","TBD","TBD","Managed-workflow activation path outside WorkflowRuntime."
"Legacy workflow-activation function activatePlaceholderWorkflowInTaskState(...)","src/core/task/workflow-activation.ts export activatePlaceholderWorkflowInTaskState(...)","TBD","TBD","Placeholder-workflow activation path outside WorkflowRuntime."
"Legacy workflow-activation function renderActivePlaceholderWorkflowReminder(...)","src/core/task/workflow-activation.ts export renderActivePlaceholderWorkflowReminder(...)","TBD","TBD","Placeholder-workflow reminder rendering path exported from the legacy activation file."
"Legacy workflow-activation function buildActivePlaceholderWorkflowActivationInstructions(...)","src/core/task/workflow-activation.ts export buildActivePlaceholderWorkflowActivationInstructions(...)","TBD","TBD","Placeholder-workflow activation-instruction builder exported from the legacy activation file."
"Legacy workflow discovery file resolveAvailableWorkflows.ts","src/core/workflows/resolution/resolveAvailableWorkflows.ts","TBD","TBD","File-level workflow discovery and resolution surface."
"Legacy workflow discovery contract ResolvedWorkflowSource","src/core/workflows/resolution/resolveAvailableWorkflows.ts export ResolvedWorkflowSource","TBD","TBD","Legacy workflow-source enum-like contract."
"Legacy workflow discovery contract ResolvedWorkflowEntry","src/core/workflows/resolution/resolveAvailableWorkflows.ts export ResolvedWorkflowEntry","TBD","TBD","Legacy resolved-workflow entry contract."
"Legacy workflow discovery contract WorkflowResolutionOptions","src/core/workflows/resolution/resolveAvailableWorkflows.ts export WorkflowResolutionOptions","TBD","TBD","Legacy workflow-resolution options contract."
"Legacy workflow discovery function resolveAvailableWorkflows(...)","src/core/workflows/resolution/resolveAvailableWorkflows.ts export resolveAvailableWorkflows(...)","TBD","TBD","Workflow discovery aggregator spanning legacy workflow sources."
"Legacy workflow discovery function resolveWorkflowByName(...)","src/core/workflows/resolution/resolveAvailableWorkflows.ts export resolveWorkflowByName(...)","TBD","TBD","Legacy workflow lookup by name across legacy workflow sources."
"Legacy workflow discovery function findResolvedWorkflowByName(...)","src/core/workflows/resolution/resolveAvailableWorkflows.ts export findResolvedWorkflowByName(...)","TBD","TBD","Legacy resolved-workflow search helper."
"Legacy workflow discovery function createWorkflowSkillMetadata(...)","src/core/workflows/resolution/resolveAvailableWorkflows.ts export createWorkflowSkillMetadata(...)","TBD","TBD","Legacy workflow-to-skill-metadata projection helper."
"Legacy workflow-form runtime file WorkflowFormRuntime.ts","src/core/task/workflow-form/WorkflowFormRuntime.ts","TBD","TBD","File-level workflow-form runtime surface."
"Legacy workflow-form runtime class WorkflowFormRuntime","src/core/task/workflow-form/WorkflowFormRuntime.ts export class WorkflowFormRuntime","TBD","TBD","Class-level workflow-form runtime surface that currently owns payload construction and session behavior."
"Legacy workflow-form runtime helper normalizeWorkflowFormSubmissionFields","src/core/task/workflow-form/WorkflowFormRuntime.ts export normalizeWorkflowFormSubmissionFields","TBD","TBD","Exported workflow-form submission normalization helper."
"Legacy workflow-form registry file WorkflowFormRegistry.ts","src/core/task/workflow-form/WorkflowFormRegistry.ts","TBD","TBD","File-level workflow-form registry surface."
"Legacy workflow-form registry constant CODE_REVIEW_STEP_3_DIFF_SOURCE_RESOLVER_ID","src/core/task/workflow-form/WorkflowFormRegistry.ts export CODE_REVIEW_STEP_3_DIFF_SOURCE_RESOLVER_ID","TBD","TBD","Exported workflow-form resolver id constant."
"Legacy workflow-form registry constant BRAINSTORMING_STEP_2_PREPARE_SESSION_RESOLVER_ID","src/core/task/workflow-form/WorkflowFormRegistry.ts export BRAINSTORMING_STEP_2_PREPARE_SESSION_RESOLVER_ID","TBD","TBD","Exported workflow-form resolver id constant."
"Legacy workflow-form registry constant BRAINSTORMING_STEP_3_CAPTURE_TOPIC_RESOLVER_ID","src/core/task/workflow-form/WorkflowFormRegistry.ts export BRAINSTORMING_STEP_3_CAPTURE_TOPIC_RESOLVER_ID","TBD","TBD","Exported workflow-form resolver id constant."
"Legacy workflow-form registry constant BRAINSTORMING_STEP_4_CHOOSE_APPROACH_RESOLVER_ID","src/core/task/workflow-form/WorkflowFormRegistry.ts export BRAINSTORMING_STEP_4_CHOOSE_APPROACH_RESOLVER_ID","TBD","TBD","Exported workflow-form resolver id constant."
"Legacy workflow-form registry constant PLACEHOLDER_WORKFLOW_START_SET_WORKFLOW_PLACEHOLDERS_RESOLVER_ID","src/core/task/workflow-form/WorkflowFormRegistry.ts export PLACEHOLDER_WORKFLOW_START_SET_WORKFLOW_PLACEHOLDERS_RESOLVER_ID","TBD","TBD","Exported workflow-form resolver id constant."
"Legacy workflow-form registry function buildWorkflowStartDefinitionPayload(...)","src/core/task/workflow-form/WorkflowFormRegistry.ts export buildWorkflowStartDefinitionPayload(...)","TBD","TBD","Exported workflow-start payload builder in the legacy registry layer."
"Legacy workflow-form registry function buildBrainstormingStep2InitialDefinitionPayload(...)","src/core/task/workflow-form/WorkflowFormRegistry.ts export buildBrainstormingStep2InitialDefinitionPayload(...)","TBD","TBD","Exported brainstorming-specific payload builder in the legacy registry layer."
"Legacy workflow-form registry function buildBrainstormingStep4DefinitionPayload(...)","src/core/task/workflow-form/WorkflowFormRegistry.ts export buildBrainstormingStep4DefinitionPayload(...)","TBD","TBD","Exported brainstorming-specific payload builder in the legacy registry layer."
"Legacy workflow-form registry map workflowFormRegistry","src/core/task/workflow-form/WorkflowFormRegistry.ts export workflowFormRegistry","TBD","TBD","Registry map of legacy workflow-form resolver definitions."
"Legacy workflow-form registry function getWorkflowFormResolverDefinition(...)","src/core/task/workflow-form/WorkflowFormRegistry.ts export getWorkflowFormResolverDefinition(...)","TBD","TBD","Resolver-definition lookup helper in the legacy registry layer."
"Legacy workflow-form trigger file WorkflowFormTriggerRegistry.ts","src/core/task/workflow-form/WorkflowFormTriggerRegistry.ts","TBD","TBD","File-level workflow-form trigger surface."
"Legacy workflow-form trigger contract WorkflowFormWorkflowStepTriggerDefinition","src/core/task/workflow-form/WorkflowFormTriggerRegistry.ts export WorkflowFormWorkflowStepTriggerDefinition","TBD","TBD","Workflow-step trigger-definition contract in the legacy trigger layer."
"Legacy workflow-form trigger contract WorkflowFormStartCandidate","src/core/task/workflow-form/WorkflowFormTriggerRegistry.ts export WorkflowFormStartCandidate","TBD","TBD","Workflow-start candidate contract in the legacy trigger layer."
"Legacy workflow-form trigger contract WorkflowFormWorkflowStepCandidate","src/core/task/workflow-form/WorkflowFormTriggerRegistry.ts export WorkflowFormWorkflowStepCandidate","TBD","TBD","Workflow-step candidate contract in the legacy trigger layer."
"Legacy workflow-form trigger function resolveWorkflowFormSlashCommandStartCandidate(...)","src/core/task/workflow-form/WorkflowFormTriggerRegistry.ts export resolveWorkflowFormSlashCommandStartCandidate(...)","TBD","TBD","Slash-command-to-workflow-start trigger resolution in the legacy trigger layer."
"Legacy workflow-form trigger registry workflowFormWorkflowStepTriggerRegistry","src/core/task/workflow-form/WorkflowFormTriggerRegistry.ts export workflowFormWorkflowStepTriggerRegistry","TBD","TBD","Workflow-step trigger registry in the legacy trigger layer."
"Legacy workflow-form trigger function getWorkflowFormWorkflowStepTriggerDefinition(...)","src/core/task/workflow-form/WorkflowFormTriggerRegistry.ts export getWorkflowFormWorkflowStepTriggerDefinition(...)","TBD","TBD","Workflow-step trigger-definition lookup helper."
"Legacy workflow-form trigger function resolveWorkflowFormWorkflowStepCandidate(...)","src/core/task/workflow-form/WorkflowFormTriggerRegistry.ts export resolveWorkflowFormWorkflowStepCandidate(...)","TBD","TBD","Workflow-step candidate resolution in the legacy trigger layer."
"Legacy step-resolution registry file WorkflowStepResolutionRegistry.ts","src/core/task/workflow-step-resolution/WorkflowStepResolutionRegistry.ts","TBD","TBD","File-level deterministic step-resolution registry surface."
"Legacy step-resolution registry constant CODE_REVIEW_STEP_3_REVIEW_INPUT_DEFINITION_ID","src/core/task/workflow-step-resolution/WorkflowStepResolutionRegistry.ts export CODE_REVIEW_STEP_3_REVIEW_INPUT_DEFINITION_ID","TBD","TBD","Exported deterministic step-resolution definition id constant."
"Legacy step-resolution registry constant WRITE_REMEDIATION_STORY_STEP_2_REVIEW_INPUT_DEFINITION_ID","src/core/task/workflow-step-resolution/WorkflowStepResolutionRegistry.ts export WRITE_REMEDIATION_STORY_STEP_2_REVIEW_INPUT_DEFINITION_ID","TBD","TBD","Exported deterministic step-resolution definition id constant."
"Legacy step-resolution registry constant QUICK_SPEC_STEP_2_BUILD_TECH_SPEC_DOCUMENT_DEFINITION_ID","src/core/task/workflow-step-resolution/WorkflowStepResolutionRegistry.ts export QUICK_SPEC_STEP_2_BUILD_TECH_SPEC_DOCUMENT_DEFINITION_ID","TBD","TBD","Exported deterministic step-resolution definition id constant."
"Legacy step-resolution registry constant BRAINSTORMING_STEP_2_CREATE_SESSION_DEFINITION_ID","src/core/task/workflow-step-resolution/WorkflowStepResolutionRegistry.ts export BRAINSTORMING_STEP_2_CREATE_SESSION_DEFINITION_ID","TBD","TBD","Exported deterministic step-resolution definition id constant."
"Legacy step-resolution registry map workflowStepResolutionRegistry","src/core/task/workflow-step-resolution/WorkflowStepResolutionRegistry.ts export workflowStepResolutionRegistry","TBD","TBD","Registry map of deterministic step-resolution definitions."
"Legacy step-resolution registry function getWorkflowStepResolutionDefinition(...)","src/core/task/workflow-step-resolution/WorkflowStepResolutionRegistry.ts export getWorkflowStepResolutionDefinition(...)","TBD","TBD","Deterministic step-resolution definition lookup helper."
"Workflow-form operation execution seam in task runtime","src/core/task/index.ts method executeWorkflowFormOperationAndSync(...)","TBD","TBD","Must be explicitly dispositioned because requirements already state this ownership moves out of task/index.ts."
"Legacy step-resolution trigger file WorkflowStepResolutionTriggerRegistry.ts","src/core/task/workflow-step-resolution/WorkflowStepResolutionTriggerRegistry.ts","TBD","TBD","File-level deterministic step-resolution trigger surface."
"Legacy step-resolution trigger contract WorkflowStepResolutionTriggerDefinition","src/core/task/workflow-step-resolution/WorkflowStepResolutionTriggerRegistry.ts export WorkflowStepResolutionTriggerDefinition","TBD","TBD","Deterministic step-resolution trigger-definition contract."
"Legacy step-resolution trigger registry workflowStepResolutionTriggerRegistry","src/core/task/workflow-step-resolution/WorkflowStepResolutionTriggerRegistry.ts export workflowStepResolutionTriggerRegistry","TBD","TBD","Deterministic step-resolution trigger registry."
"Legacy step-resolution trigger function getWorkflowStepResolutionTriggerDefinition(...)","src/core/task/workflow-step-resolution/WorkflowStepResolutionTriggerRegistry.ts export getWorkflowStepResolutionTriggerDefinition(...)","TBD","TBD","Deterministic step-resolution trigger-definition lookup helper."
"Legacy workflow completion runner file workflowCompletionRunner.ts","src/core/task/workflowCompletionRunner.ts","TBD","TBD","File-level workflow completion runner surface."
"Legacy workflow completion runner contract WorkflowCompletionRunnerArgs","src/core/task/workflowCompletionRunner.ts export WorkflowCompletionRunnerArgs","TBD","TBD","Workflow completion runner argument contract."
"Legacy workflow completion runner contract WorkflowCompletionRunnerCompletedResult","src/core/task/workflowCompletionRunner.ts export WorkflowCompletionRunnerCompletedResult","TBD","TBD","Workflow completion runner completed-result contract."
"Legacy workflow completion runner contract WorkflowCompletionRunnerResult","src/core/task/workflowCompletionRunner.ts export WorkflowCompletionRunnerResult","TBD","TBD","Workflow completion runner result contract."
"Legacy workflow completion runner function workflowCompletionRunner(...)","src/core/task/workflowCompletionRunner.ts export workflowCompletionRunner(...)","TBD","TBD","Workflow completion runner function outside WorkflowRuntime."
"Legacy workflow completion handler file workflowCompletionHandler.ts","src/core/task/workflowCompletionHandler.ts","TBD","TBD","File-level workflow completion handler surface."
"Legacy workflow completion handler contract WorkflowCompletionHandlerResult","src/core/task/workflowCompletionHandler.ts export WorkflowCompletionHandlerResult","TBD","TBD","Workflow completion handler result contract."
"Legacy workflow completion handler contract WorkflowCompletionHandlerRegistryEntry","src/core/task/workflowCompletionHandler.ts export WorkflowCompletionHandlerRegistryEntry","TBD","TBD","Workflow completion handler registry-entry contract."
"Legacy workflow completion handler registry workflowCompletionHandlerRegistry","src/core/task/workflowCompletionHandler.ts export workflowCompletionHandlerRegistry","TBD","TBD","Registry map for workflow completion handlers."
"Legacy workflow completion handler contract WorkflowCompletionHandlerArgs","src/core/task/workflowCompletionHandler.ts export WorkflowCompletionHandlerArgs","TBD","TBD","Workflow completion handler argument contract."
"Legacy workflow completion handler function workflowCompletionHandler(...)","src/core/task/workflowCompletionHandler.ts export workflowCompletionHandler(...)","TBD","TBD","Workflow completion handler function outside WorkflowRuntime."
"Legacy contextual tool matrix file contextualToolMatrix.ts","src/core/prompts/system-prompt/registry/contextualToolMatrix.ts","TBD","TBD","File-level contextual workflow tool-matrix surface."
"Legacy contextual tool contract PlaceholderToolBundle","src/core/prompts/system-prompt/registry/contextualToolMatrix.ts export PlaceholderToolBundle","TBD","TBD","Placeholder-era workflow tool-bundle contract."
"Legacy contextual tool map PLACEHOLDER_BUILTIN_BUNDLE_TOOLS","src/core/prompts/system-prompt/registry/contextualToolMatrix.ts export PLACEHOLDER_BUILTIN_BUNDLE_TOOLS","TBD","TBD","Placeholder-era built-in workflow tool-bundle map."
"Legacy contextual tool map PLACEHOLDER_INDXR_BUNDLE_TOOLS","src/core/prompts/system-prompt/registry/contextualToolMatrix.ts export PLACEHOLDER_INDXR_BUNDLE_TOOLS","TBD","TBD","Placeholder-era INDXR workflow tool-bundle map."
"Legacy contextual tool constant ACT_MODE_RESPONSE_TOOL_IDS","src/core/prompts/system-prompt/registry/contextualToolMatrix.ts export ACT_MODE_RESPONSE_TOOL_IDS","TBD","TBD","Response-tool preservation constant in the contextual matrix layer."
"Legacy contextual tool constant PLAN_MODE_RESPONSE_TOOL_IDS","src/core/prompts/system-prompt/registry/contextualToolMatrix.ts export PLAN_MODE_RESPONSE_TOOL_IDS","TBD","TBD","Response-tool preservation constant in the contextual matrix layer."
"Legacy contextual tool constant ALWAYS_PRESERVED_NATIVE_TOOL_IDS","src/core/prompts/system-prompt/registry/contextualToolMatrix.ts export ALWAYS_PRESERVED_NATIVE_TOOL_IDS","TBD","TBD","Always-preserved native tool constant in the contextual matrix layer."
"Legacy contextual workflow-step matrix PLACEHOLDER_WORKFLOW_STEP_MATRIX","src/core/prompts/system-prompt/registry/contextualToolMatrix.ts export PLACEHOLDER_WORKFLOW_STEP_MATRIX","TBD","TBD","Placeholder-era workflow-step-to-tool-bundle matrix."
"Legacy prompt-context field activeWorkflowPersonaInstructions","src/core/prompts/system-prompt/types.ts field activeWorkflowPersonaInstructions","TBD","TBD","Legacy workflow persona prompt-context field that must be explicitly retired, renamed, or replaced rather than silently remapped."
"Legacy prompt-context field activeWorkflowReminder","src/core/prompts/system-prompt/types.ts field activeWorkflowReminder","TBD","TBD","Legacy workflow reminder prompt-context field that must be explicitly retired, renamed, or replaced rather than silently remapped."
"Legacy prompt-context field activeWorkflowSupportsPlaceholders","src/core/prompts/system-prompt/types.ts field activeWorkflowSupportsPlaceholders","TBD","TBD","Legacy placeholder-support prompt-context field that must be explicitly retired, renamed, or replaced rather than silently remapped."
"Legacy prompt-context field activePlaceholderWorkflowName","src/core/prompts/system-prompt/types.ts field activePlaceholderWorkflowName","TBD","TBD","Legacy placeholder-workflow-name prompt-context field that must be explicitly retired, renamed, or replaced rather than silently remapped."
"Legacy prompt-context field activePlaceholderWorkflowStepNumber","src/core/prompts/system-prompt/types.ts field activePlaceholderWorkflowStepNumber","TBD","TBD","Legacy placeholder step-number prompt-context field that must be explicitly retired, renamed, or replaced rather than silently remapped."
"Legacy prompt-context field activeDeterministicPlaceholderWorkflowEnabled","src/core/prompts/system-prompt/types.ts field activeDeterministicPlaceholderWorkflowEnabled","TBD","TBD","Legacy deterministic-placeholder prompt-context field that must be explicitly retired, renamed, or replaced rather than silently remapped."
"Legacy prompt-context field managedWorkflowActive","src/core/prompts/system-prompt/types.ts field managedWorkflowActive","TBD","TBD","Legacy managed-workflow prompt-context field that must be explicitly retired, renamed, or replaced rather than silently remapped."
"Legacy task_progress workflow surface in task_progress.ts","src/core/prompts/system-prompt/components/task_progress.ts","TBD","TBD","Prompt guidance surface that currently overlaps workflow progression ownership."
"Legacy task_progress workflow surface in attempt_completion.ts","src/core/prompts/system-prompt/tools/attempt_completion.ts","TBD","TBD","Attempt-completion tool contract surface that currently overlaps workflow progression ownership."
"Legacy task_progress workflow surface in generate_plan_output.ts","src/core/prompts/system-prompt/tools/generate_plan_output.ts","TBD","TBD","Plan-output tool contract surface that currently overlaps workflow progression ownership."
"Legacy task_progress workflow surface in contextManagement.ts","src/core/prompts/contextManagement.ts","TBD","TBD","Context-management prompt surface that currently overlaps workflow progression ownership."
"Legacy task_progress workflow surface in openFocusChainFile.ts","src/core/controller/file/openFocusChainFile.ts","TBD","TBD","Focus-chain file-open surface that currently depends on task_progress state."
"Legacy task_progress workflow surface in focus-chain/index.ts","src/core/task/focus-chain/index.ts","TBD","TBD","Focus-chain runtime surface that currently overlaps workflow progression ownership."
"BMAD persona/reminder runtime lookup in bmad-agent-mode.ts","src/core/task/bmad-agent-mode.ts","TBD","TBD","BMAD-oriented runtime persona/reminder lookup surface that must be explicitly dispositioned."
"BMAD persona/reminder runtime lookup in task/index.ts","src/core/task/index.ts","TBD","TBD","BMAD-oriented runtime persona/reminder lookup surface that must be explicitly dispositioned."
"BMAD persona/reminder runtime lookup in SubagentRunner.ts","src/core/task/tools/subagent/SubagentRunner.ts","TBD","TBD","BMAD-oriented subagent persona/reminder lookup surface that must be explicitly dispositioned."
"BMAD workflow packaging assets used as runtime dependencies",".cline/skills/** non-markdown workflow support assets","TBD","TBD","This row is limited to BMAD support assets relied on for live workflow behavior beyond the markdown sources already enumerated above."
"Workflow-specific deterministic document-build handler BuildEpicsDocumentToolHandler.ts","src/core/task/tools/handlers/BuildEpicsDocumentToolHandler.ts","TBD","TBD","Workflow-specific document creation/update surface that must be explicitly retired, migrated, or consolidated."
"Workflow-specific deterministic document-build handler BuildStoryDocumentToolHandler.ts","src/core/task/tools/handlers/BuildStoryDocumentToolHandler.ts","TBD","TBD","Workflow-specific document creation/update surface that must be explicitly retired, migrated, or consolidated."
"Workflow-specific deterministic document-build handler BuildReviewDiffOutputToolHandler.ts","src/core/task/tools/handlers/BuildReviewDiffOutputToolHandler.ts","TBD","TBD","Workflow-specific document creation/update surface that must be explicitly retired, migrated, or consolidated."
"File-backed workflow data asset loader brainstormingTechniqueLibrary.ts","src/core/workflows/brainstormingTechniqueLibrary.ts","TBD","TBD","Runtime loader surface for external workflow data assets that may need migration into product-owned runtime code or approved data assets."
"File-backed workflow data asset brain-methods.csv","brain-methods.csv","TBD","TBD","External workflow data asset that may need migration into product-owned runtime code or approved data assets."
